lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.00163513,0.099123,0.00867734,0.00170294,0.00779472,0.000243109,0.208587,0.0486491,0.0138775,0.000502083,0.00270081
0.00297436,0.00115774,0.0131488,0.0901146,0.000180115,0.000638138,0.101428,0.0355302,0.0152814,0.000920132,0.00067135
0.0333087,0.0001838,0.00253639,0.0018653,0.0130007,0.00287418,0.468145,0.0106326,0.00541469,0.000223842,0.00489334
0.0205477,0.00107795,0.0347592,0.0156484,0.00105767,0.0046595,0.0690616,0.00456477,0.000425669,0.00337802,0.083858
0.00398767,0.0125339,0.00706638,0.0458941,0.000394667,0.0183883,0.0591116,0.0850966,0.0112541,0.0158659,0.0259871
0.0013804,0.0234558,0.00131379,0.00806122,0.000287973,0.000211183,0.00814036,0.0575317,0.100946,0.000157867,0.0303775
0.00288318,0.00281115,0.0737725,0.0486272,0.00184831,0.0216242,0.288817,0.000458909,0.00838084,0.00290496,0.00167515
0.000198697,0.0145392,0.00267976,0.000138246,0.00494381,0.00251515,0.144422,0.00529509,0.00736496,0.000825699,0.0395341
0.00400272,0.00777915,0.000321783,0.00118408,0.00287834,0.00218407,0.0108962,0.0114624,0.0131481,0.00746025,0.00836129
0.000466182,0.00965214,0.0373682,0.0000567769,0.000636414,0.00498158,0.0304041,0.00729129,0.0803487,0.00121073,0.0255638
0.000848103,0.0392973,0.0780665,0.00305637,0.000486152,0.00124496,0.00820387,0.00732588,0.00462494,0.00196974,0.0507473
0.00160977,0.00517513,0.0182409,0.00107194,0.00103369,0.00220191,0.0108965,0.00794737,0.00626318,0.0000749196,0.0101452
0.0000238893,0.00308123,0.00108946,0.0374674,0.00108098,0.00498485,0.18572,0.0225447,0.0180686,0.0149584,0.00374585
0.00086924,0.121914,0.00653004,0.00268813,0.0021203,0.0150027,0.023415,0.0229667,0.0055494,0.000038563,0.00487557
0.0157345,0.000354464,0.0358692,0.0106358,0.0142526,0.000374421,0.0114437,0.00181682,0.00278311,0.00423165,0.0279408
0.00777856,0.0165599,0.00934723,0.167161,0.00467353,0.0190766,0.762477,0.0375205,0.108478,0.00161522,0.0068833
0.00114221,0.026716,0.00509223,0.00112652,0.00670635,0.00147222,0.0281496,0.241937,0.116934,0.0108678,0.0150357
0.00136411,0.313209,0.373392,0.0023052,0.00334908,0.0169951,0.130069,0.00259707,0.0195314,0.00454144,0.10794
0.00490301,0.13563,0.0234151,0.000571533,0.000358778,0.0345569,0.0301193,0.00348861,0.039611,0.00115253,0.00697436
0.000700007,0.00639436,0.051882,0.00182741,0.0000772599,0.000483506,0.0335786,0.00911004,0.00364763,0.000708442,0.0125679
0.00146721,0.00897079,0.0750968,0.110032,0.00482295,0.00445803,0.0275924,0.118301,0.0256947,0.000092565,0.0124347
0.00806294,0.00319256,0.0239927,0.00502209,0.000438706,0.00165658,0.0128173,0.0101682,0.00219866,0.00239287,0.149568
0.0420046,0.00282499,0.825359,0.0352045,0.00400323,0.00194048,0.0408674,0.0395272,0.00054505,0.00275918,0.00900297
0.00217638,0.000481703,0.0175475,0.0109118,0.000389897,0.00648413,0.0338956,0.0374335,0.231796,0.0100908,0.00219756
0.00676536,0.0252605,0.00227744,0.00222938,0.012708,0.0010293,0.188398,0.0423414,0.0558562,0.0075984,0.134911
0.0112505,0.0145327,0.268483,0.000406586,0.001497,0.00660618,0.268847,0.204263,0.0108073,0.000836668,0.00966904
0.000298612,0.00385486,0.0917685,0.00318474,0.000733529,0.0131078,0.0533886,0.0108645,0.00142383,0.00544526,0.00263408
0.00219831,0.00860513,0.145073,0.0008023,0.0041312,0.00565371,1.19456,0.0117476,0.113006,0.000351716,0.0172101
0.00469184,0.00970005,0.0064353,0.00148381,0.00146209,0.0138265,0.433911,0.0225167,0.000140295,0.000359838,0.0108763
0.015931,0.00386209,0.682652,0.0212671,0.0104143,0.000670067,0.0300405,0.00164555,0.0030819,0.000132763,0.0103392
0.003587,0.0213585,0.0521347,0.00653679,0.000639435,0.0141185,0.239498,0.000848621,0.027233,0.00277046,0.0368712
0.00301858,0.00097862,0.24787,0.00225154,0.00986091,0.00208096,0.106245,0.00446414,0.0248937,0.000290358,0.0046372
0.000659048,0.0026172,0.0250909,0.000435454,0.0024506,0.00530968,0.0407239,0.00169005,0.0229585,0.0032849,0.0230754
0.001075,0.0045355,0.00796317,0.0336084,0.000246209,0.00048002,0.0835321,0.00226403,0.0121861,0.00180295,0.0165209
0.00441452,0.01634,0.0835821,0.00157802,0.0000515855,0.0105862,0.028346,0.0222559,0.326451,0.0000570796,0.0224846
0.00097218,0.00974352,0.00265862,0.0201213,0.00137947,0.00824678,0.104467,0.0121821,0.038809,0.000919789,0.214605
0.0108911,0.000404632,0.35263,0.0301406,0.00900123,0.000651488,0.0769496,0.00826588,0.0386926,0.0026608,0.010978
0.00211619,0.025197,0.0113351,0.00365704,0.000791688,0.00161937,0.00798413,0.0317794,0.0480185,0.00663707,0.00377119
0.00573062,0.00188702,0.480809,0.000575458,0.0165997,0.00411365,0.20611,0.000517189,0.0305546,0.00867861,0.315255
0.0492809,0.00460132,0.0481813,0.00565889,0.000245833,0.00221891,0.0794752,0.0069733,0.0563299,0.00121258,0.0443723
0.000933392,0.0275504,0.00153783,0.0049536,0.000909859,0.000861752,0.0670909,0.00426145,0.00278279,0.000334739,0.100905
0.00210447,0.0162765,0.00182085,0.112708,0.000758277,0.00123907,1.11877,0.0081299,0.00245731,0.00130107,0.00651889
0.0803969,0.0102191,0.0422209,0.00427306,0.00795743,0.00141471,0.0229021,0.0282762,0.0122015,0.00241614,0.010042
0.00248402,0.00704161,0.000519666,0.00321053,0.016513,0.0198796,0.180215,0.00472436,0.0105711,0.00619708,0.0574913
0.000534246,0.00770844,0.0656697,0.00324477,0.00195226,0.00149531,0.0382808,0.178959,0.0734958,0.000447041,0.0125862
0.00406263,0.00895773,0.00256086,0.0365587,0.00164275,0.00970086,0.0994938,0.00462071,0.00626604,0.00254196,0.0172089
0.00271158,0.00331692,0.00826024,0.000571952,0.0106718,0.00412654,0.0299116,0.00597373,0.049295,0.00117738,0.0000388578
0.00166297,0.134602,0.00906251,0.00642982,0.00286256,0.00401446,0.0780378,0.00487339,0.0101125,0.00690605,0.00151981
0.0058826,0.000899418,0.00266905,0.200778,0.000977032,0.011968,0.0365072,0.0230156,0.00209221,0.00154335,0.00112043
0.000465858,0.0119228,0.138458,0.00113249,0.0061419,0.0121056,0.123335,0.00695263,0.00264076,0.0114477,0.254743
0.00146826,0.00576445,0.00923711,0.046636,0.000704947,0.00745689,0.0849977,0.00355757,0.0175703,0.00498508,0.0135455
0.00509131,0.00280069,0.525597,0.000296581,0.0770343,0.00764845,0.0387955,0.0284017,0.380329,0.000295804,0.00093698
0.119487,0.00122365,0.00104657,0.00790603,0.0155165,0.00099876,0.00482121,0.0480816,0.00859771,0.00534308,0.00232917
0.0042115,0.00136007,0.00539394,0.0158742,0.0010153,0.00443546,0.0724998,0.0253459,0.000524341,0.000896473,0.0256745
0.00217998,0.00061906,0.90175,0.00452781,0.00771498,0.0790084,0.0461146,0.0462092,0.238504,0.00012094,0.00400157
0.000851667,0.00364463,0.0516555,0.0023606,0.000303912,0.011797,0.573481,0.0518679,0.346681,0.00458846,0.0157104
0.0185356,0.00827356,0.0417413,0.00161692,0.00198549,0.00131712,0.0194543,0.12606,0.000714635,0.0547546,0.0177328
0.000678679,0.00207121,0.00627277,0.00919955,0.00304329,0.00627037,0.103095,0.0383204,0.026754,0.0400575,0.0602103
0.00108498,0.00354407,0.107301,0.0025081,0.0175743,0.00059544,0.069404,0.0369595,0.0104048,0.0015906,0.0375419
0.00739235,0.0208445,0.239367,0.00240513,0.020469,0.000806922,0.037913,0.214738,0.0152466,0.0037382,0.00194496
0.000312323,0.00400958,0.0309437,0.018965,0.00315403,0.000907182,0.487648,0.0182123,0.0154769,0.00205278,0.00605801
0.00171995,0.00662247,0.04779,0.00858084,0.0877869,0.015843,0.00809053,0.0174879,0.0510547,0.0040842,0.0248078
0.0106427,0.00397345,0.164716,0.0150088,0.0131215,0.000803971,0.0225122,0.00315094,0.0290066,0.00915453,0.00289158
0.00113904,0.00016228,0.00419135,0.00527505,0.000418204,0.00149062,0.00323332,0.0300752,0.0258194,0.000239647,0.0460955
0.000144349,0.00583148,0.0661871,0.0634753,0.00195332,0.00150094,0.0157619,0.00208174,0.00532866,0.0303273,0.0152304
0.0370074,0.017046,0.00950699,0.85132,0.000614581,0.000623233,0.465647,0.470548,0.00439613,0.00132517,0.000665654
0.011863,0.0191385,0.0996206,0.076278,0.00736092,0.00432549,0.0346451,0.0138016,0.0255298,0.000354847,0.00306249
0.000452921,0.512284,0.0443224,0.000833463,0.00333112,0.0121733,0.124026,0.21342,0.0141956,0.000420138,0.00263093
0.00393544,0.00155715,0.0137308,0.000545378,0.000192595,0.00393637,0.0202579,0.0565682,0.0640134,0.000417456,0.0157284
0.00146358,0.00210201,0.0153829,0.0219278,0.000752357,0.00118114,0.129565,0.00735692,0.0111699,0.00320711,0.0739626
0.00177062,0.000964314,0.0118361,0.00059438,0.00220357,0.000328847,0.288249,0.0309302,0.00454298,0.000741197,0.0064946
0.00258591,0.00115565,0.133126,0.00820818,0.00310765,0.00179642,0.0573547,0.00195863,0.00626327,0.000665365,0.00860845
