lambda_tilde_mode.4.1,lambda_tilde_mode.4.10,lambda_tilde_mode.4.11,lambda_tilde_mode.4.12,lambda_tilde_mode.4.13,lambda_tilde_mode.4.14,lambda_tilde_mode.4.15,lambda_tilde_mode.4.16,lambda_tilde_mode.4.17,lambda_tilde_mode.4.18,lambda_tilde_mode.4.19
0.0000388932,0.0000327097,0.0000122376,0.000240067,0.000400273,0.000246918,0.0000340607,0.000725466,0.0000270652,0.000286976,0.0000147171
0.0000366769,0.0000347685,0.0000120523,0.000240919,0.000396507,0.000259304,0.0000321869,0.00075786,0.00002591,0.000280346,0.0000148835
0.0000356911,0.0000356466,0.0000128082,0.000251098,0.000392722,0.000251829,0.0000316564,0.000763303,0.0000256273,0.000291151,0.0000151937
0.0000340353,0.0000344698,0.0000125421,0.000246649,0.000400392,0.000244202,0.0000293508,0.000773538,0.0000264582,0.000292981,0.0000165647
0.000034264,0.0000350168,0.0000127357,0.000243919,0.000407368,0.000236659,0.0000285919,0.000749358,0.0000270506,0.000294833,0.0000163676
0.0000354175,0.0000353498,0.0000125023,0.000255081,0.000405419,0.000243686,0.0000290757,0.000753212,0.0000274382,0.000297148,0.0000159728
0.0000373545,0.0000367515,0.0000132989,0.000257085,0.000406613,0.000235741,0.0000283262,0.000746373,0.0000281967,0.000291696,0.0000162662
0.0000388126,0.0000359481,0.0000130815,0.000259894,0.000410289,0.000226748,0.0000280783,0.000761852,0.0000279862,0.000295142,0.0000156569
0.0000377496,0.0000370009,0.0000137833,0.000247588,0.000412843,0.000226169,0.000028478,0.00073735,0.0000287914,0.000287685,0.0000156663
0.0000368375,0.0000366686,0.0000137949,0.000246565,0.000405411,0.000218576,0.000027522,0.000741158,0.0000289957,0.000284004,0.0000161036
0.0000351734,0.0000382945,0.000014204,0.00025382,0.000408269,0.00021563,0.0000261072,0.000750592,0.0000286365,0.000285323,0.0000164147
0.0000359269,0.0000380516,0.0000145672,0.000242893,0.000401698,0.000208894,0.0000265578,0.000747907,0.000027593,0.00026946,0.0000153995
0.0000355244,0.0000380367,0.0000143,0.000251656,0.000392592,0.000211072,0.0000276195,0.000774461,0.0000281807,0.000265428,0.0000156437
0.0000359284,0.0000419284,0.0000142305,0.000251928,0.000384349,0.000211955,0.0000267937,0.000738514,0.0000284624,0.000268458,0.0000159705
0.000036355,0.0000405138,0.0000137702,0.000243377,0.000388386,0.000210303,0.0000265985,0.000721287,0.0000286328,0.000273121,0.0000166146
0.0000378104,0.0000422256,0.0000131559,0.000250839,0.000392399,0.000222508,0.0000266565,0.000739646,0.0000281239,0.000275009,0.0000152287
0.0000382142,0.0000420835,0.0000135117,0.000247421,0.000398205,0.000215018,0.0000263677,0.000730233,0.0000282,0.000274605,0.0000155345
0.0000397078,0.0000401155,0.0000127089,0.000238593,0.000397634,0.000203228,0.0000260652,0.000720679,0.0000284701,0.000285456,0.0000154275
0.0000399453,0.0000392463,0.0000120058,0.000234979,0.000384853,0.000203225,0.0000261684,0.000694206,0.0000286413,0.000285036,0.0000153865
0.0000395373,0.0000391319,0.0000116412,0.000221428,0.000398139,0.000204027,0.0000266851,0.000685074,0.0000286287,0.000279306,0.0000145115
0.0000407866,0.0000384701,0.000010873,0.000217879,0.000392252,0.00020363,0.0000267044,0.000674447,0.0000283208,0.000274207,0.0000142605
0.0000406847,0.000038341,0.000011736,0.000228446,0.000380208,0.000200038,0.0000274611,0.000684925,0.0000279004,0.0002847,0.000014437
0.0000371154,0.0000399498,0.0000115754,0.000228469,0.000378305,0.000205825,0.0000289798,0.000670389,0.00002695,0.000274722,0.0000129786
0.0000379348,0.0000404386,0.0000114928,0.000239519,0.00037056,0.00020705,0.0000289991,0.000675606,0.0000264673,0.000268214,0.0000129833
0.0000356631,0.0000401178,0.0000114767,0.000236434,0.000391636,0.000204268,0.0000285196,0.000686858,0.00002601,0.000275558,0.000012479
0.0000348822,0.0000427237,0.0000116246,0.000229542,0.000389644,0.000211858,0.0000281867,0.000649965,0.0000262064,0.000270978,0.0000125353
0.000035576,0.0000421952,0.0000114292,0.000224527,0.000386103,0.000214775,0.0000275788,0.000650001,0.0000266024,0.000261567,0.000012454
0.0000332338,0.0000422717,0.0000108226,0.000226363,0.000386434,0.00022323,0.0000273864,0.000686216,0.0000271716,0.000266235,0.0000128671
0.0000314851,0.0000386892,0.0000102015,0.000230261,0.000386754,0.000225781,0.0000275308,0.000723094,0.0000272362,0.000264339,0.0000131423
0.0000285947,0.0000396771,0.0000101218,0.000224748,0.000400495,0.000227001,0.000028774,0.000705226,0.0000276894,0.000267643,0.0000132677
0.0000307808,0.0000409148,0.000010513,0.000221368,0.000386219,0.000218652,0.0000284152,0.000701494,0.000027478,0.000274712,0.0000132686
0.0000303208,0.0000388067,0.0000108661,0.00021552,0.000385705,0.000220825,0.0000299735,0.000698537,0.000027823,0.000272534,0.0000143064
0.0000304497,0.0000396788,0.0000108264,0.000217385,0.000383027,0.000219263,0.0000314317,0.00067511,0.0000282031,0.000279404,0.0000143132
0.0000313451,0.0000406987,0.0000106495,0.000221713,0.000394693,0.000212982,0.0000304446,0.000664093,0.0000283825,0.000280119,0.0000147901
0.0000322903,0.0000381696,0.0000105937,0.000224454,0.000391756,0.000218616,0.0000300862,0.000642132,0.0000280844,0.000277058,0.0000145886
0.0000309643,0.0000417263,0.000010886,0.000222039,0.000389396,0.000211763,0.0000295107,0.000620268,0.0000277797,0.000287742,0.0000147853
0.0000318064,0.0000428193,0.0000107858,0.000223162,0.000384972,0.000217566,0.0000292854,0.00063128,0.0000271265,0.000279706,0.0000157048
0.0000321448,0.0000435536,0.0000108551,0.000230593,0.000386017,0.00021681,0.0000295845,0.000638764,0.0000267367,0.000272993,0.0000156981
0.0000323266,0.000046038,0.0000112014,0.000233401,0.000380875,0.000214931,0.0000292234,0.000650113,0.0000267032,0.000277831,0.0000152855
0.0000354067,0.0000438224,0.0000104725,0.000229344,0.000382714,0.000213552,0.0000283184,0.000633152,0.000026968,0.00027585,0.0000154303
0.0000371299,0.0000457448,0.0000104909,0.000233693,0.000362346,0.000219328,0.0000282028,0.000629054,0.0000264365,0.000280753,0.0000161713
0.0000362184,0.0000463576,0.0000110071,0.000227572,0.000372349,0.000220512,0.0000283781,0.000587499,0.000025733,0.000272888,0.0000167501
0.0000347897,0.0000492305,0.0000107213,0.000230045,0.000376598,0.000222088,0.0000280877,0.000599675,0.0000254887,0.000276485,0.0000184597
0.0000321699,0.000047671,0.0000105392,0.000229711,0.000371289,0.000219502,0.0000283833,0.000568482,0.0000251173,0.000283053,0.0000189664
0.000030771,0.0000483711,0.0000106602,0.000226351,0.000355049,0.000214726,0.0000281848,0.000546158,0.0000255083,0.000291665,0.0000182382
0.0000323151,0.0000476086,0.0000102275,0.000227036,0.000363226,0.000213948,0.0000283027,0.000554654,0.0000244891,0.000298305,0.0000186724
